2025-04-04 21:52:44.643 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:52:44.643 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:53:48.738 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:53:48.738 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:54:53.681 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:54:53.681 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:55:58.240 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:55:58.240 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:57:03.193 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:57:03.193 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:58:07.694 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2025-04-04 21:58:07.694 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 2474150294557-UnityPersonal]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.coffee.ui-particle], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.fluid.behavior-tree], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.gamelovers.mcp-unity], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.heathen.steamworkscomplete], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.heathen.systemcore], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.rlabrecque.steamworks.net], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.2d.animation], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.2d.pixel-perfect], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.2d.psdimporter], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.2d.sprite], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.2d.spriteshape], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.addressables], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.457 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.cinemachine], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.458 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.458 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.458 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.feature.development], Result: [granted: True, group: (null)]
2025-04-04 21:59:01.458 User Agent: [UnityEditor/6000.0.43f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16.2], Session Id: [3f6e8e3c489b4cf68dc1cddd460098cc], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
